model_key,model_name,feature_group,is_leaky,matrix,n_features,val_auc_pr,val_roc_auc,val_threshold,val_expected_cost,val_precision,val_recall,val_f1,val_loss_avoided_pct,val_flagged_rate,test_auc_pr,test_roc_auc,test_expected_cost,test_precision,test_recall,test_f1,test_loss_avoided_pct,test_flagged_rate
logreg,Logistic Regression,base,True,linear,18,0.5225977618686588,0.9976166126342629,0.5798399999999999,735090.0,0.021005419547748084,1.0,0.04114653878537174,100.0,0.02803352497346481,0.7737849307816269,0.9952957324984495,73649914.54,0.1192503748125937,0.9922654690618763,0.21291289683601905,98.84847890995397,0.03494367624238652
logreg,Logistic Regression,dest,False,linear,16,0.0012107011506279936,0.6577594221640262,0.17065999999999998,26452628.3,0.000596094465565716,0.998220640569395,0.0011914774320156995,99.98469572970413,0.9860990179098128,0.01094098748331155,0.6694697460668766,30054766.05,0.0042244791727158405,0.998253493013972,0.008413354123142822,99.94249918841041,0.9923574460416201
logreg,Logistic Regression,synth,False,linear,21,0.06453555481695604,0.9406686863151384,0.13074,11172370.0,0.0014067056305770748,1.0,0.0028094591791080216,100.0,0.4186063812286972,0.2172164752477361,0.9521286694486677,10964868.0,0.01014218801005109,1.0,0.02008071364691913,100.0,0.41406527499677803
logreg,Logistic Regression,realistic,False,linear,44,0.24910825963778943,0.9890345194248339,0.28043999999999997,3263984.54,0.005687672587891028,0.9822064056939501,0.011309853094842953,99.92551229459858,0.10168976511772404,0.5867312076279476,0.9899728740302397,5371795.16,0.02485612070306424,0.9967564870259481,0.04850272865788883,99.98463853687622,0.16840546818763338
logreg,Logistic Regression,all,True,linear,50,0.6037784852742814,0.9981724074675583,0.5598799999999999,975834.81,0.02693537447921713,0.9893238434163701,0.05244293529522732,99.94526252591788,0.021628406746487035,0.8533404655971717,0.9972194076784325,73738418.06999998,0.11431537662936901,0.9890219560878244,0.20494261193258195,98.84767158555145,0.036333041000929385
rf,Random Forest,base,True,tree,18,1.0,1.0,0.47006,1686.0,1.0,1.0,1.0,100.0,0.0005888559534699018,0.9999604667082628,0.9999998027115328,764937.3,1.0,0.9995009980039921,0.9997504367357125,99.98809316722048,0.004197432294662681
rf,Random Forest,dest,False,tree,16,0.0008069765910509977,0.6257858210526048,0.001,113522780.62999998,0.0008523188484225336,0.7846975088967971,0.0017027881708348296,86.83320797239503,0.5421372537309054,0.005744413790547894,0.6247750557062299,929770062.64,0.005887003209761775,0.8026447105788423,0.011688278658445753,85.53710880632231,0.572571257333195
rf,Random Forest,synth,False,tree,21,0.2889123651537092,0.820089051750556,0.001,264261784.18,0.0052165622446199945,0.6814946619217082,0.010353869860236274,65.14216765866821,0.07692847705295408,0.13795511353143805,0.8473761977982723,1548796204.53,0.03017751479289941,0.750748502994012,0.058022715439942925,75.5499551411736,0.10447478135317421
rf,Random Forest,realistic,False,tree,44,0.744497085344565,0.9721188783821464,0.001,4391646.619999999,0.017679448056255806,0.9483985765124555,0.03471182025398893,99.5266386417799,0.03158866420855978,0.8120715752787234,0.9737803836972173,26283216.71,0.08425207267595695,0.9533433133732535,0.15482171799027553,99.6029225131713,0.04751920854406937
rf,Random Forest,all,True,tree,50,1.0,1.0,0.22055999999999998,1686.0,1.0,1.0,1.0,100.0,0.0005888559534699018,0.9999927953690835,0.9999999740099026,764937.3,1.0,0.9995009980039921,0.9997504367357125,99.98809316722048,0.004197432294662681
xgb,XGBoost,base,True,tree,18,1.0,1.0,0.9690599999999999,1686.0,1.0,1.0,1.0,100.0,0.0005888559534699018,0.9997779134405551,0.9999919428072521,764937.3,1.0,0.9995009980039921,0.9997504367357125,99.98809316722048,0.004197432294662681
xgb,XGBoost,dest,False,tree,16,0.0013044012326402666,0.6735963406246779,0.001,26660290.0,0.0005899302475712614,1.0,0.0011791648701187662,100.0,0.9981789472470984,0.0089415717901791,0.6309498708827708,41146413.4,0.004206658684046053,0.9975049900199601,0.008377985888605059,99.76855539486466,0.9958140933556722
xgb,XGBoost,synth,False,tree,21,0.26762498778012106,0.9470406315515557,0.08084,10519246.97,0.0014973136431696075,0.998220640569395,0.002990142125026317,99.99435236077457,0.39257517605430886,0.24311366962125555,0.9224258640869957,249068245.54000002,0.01130797871715665,0.9608283433133733,0.022352886546476127,96.21045460380245,0.3568299432204553
xgb,XGBoost,realistic,False,tree,44,0.8063295377752366,0.9990458872928433,0.24051999999999998,683120.0700000001,0.028640601658682326,0.9893238434163701,0.05566958698372966,99.97960019931482,0.0203406772681694,0.906883266033945,0.9987477974967536,6328238.91,0.1729491972729272,0.9810379241516967,0.2940582582358,99.90843630580115,0.023821423669285084
xgb,XGBoost,all,True,tree,50,1.0,1.0,0.51996,1686.0,1.0,1.0,1.0,100.0,0.0005888559534699018,0.9997684742146643,0.9999951587536585,764965.3,0.9997504367357125,0.9995009980039921,0.9996257018091079,99.98809316722048,0.004198480081056755
